latiude,longitude,候補1,候補2
38.228744,140.889475,あすと長町1丁目北交差点,
38.228691,140.889458,あすと長町1丁目北交差点,
38.228653,140.88942,あすと長町1丁目北交差点,
38.228689,140.889522,あすと長町1丁目北交差点,
38.228731,140.889381,あすと長町1丁目北交差点,
38.228667,140.889442,あすと長町1丁目北交差点,
38.228694,140.889508,あすと長町1丁目北交差点,
38.228744,140.889503,あすと長町1丁目北交差点,
38.228729,140.88942,あすと長町1丁目北交差点,
38.228729,140.889359,あすと長町1丁目北交差点,
38.228737,140.889412,あすと長町1丁目北交差点,
38.228728,140.889444,あすと長町1丁目北交差点,
38.228764,140.889475,あすと長町1丁目北交差点,
38.228439,140.889572,あすと長町1丁目北交差点,
38.228828,140.889488,あすと長町1丁目北交差点,
38.228729,140.889381,あすと長町1丁目北交差点,
38.228694,140.889578,あすと長町1丁目北交差点,
38.228725,140.889467,あすと長町1丁目北交差点,
38.228764,140.889533,あすと長町1丁目北交差点,
38.228722,140.889458,あすと長町1丁目北交差点,
38.228758,140.889508,あすと長町1丁目北交差点,
38.228753,140.8895,あすと長町1丁目北交差点,
38.228722,140.889412,あすと長町1丁目北交差点,
38.22876,140.889381,あすと長町1丁目北交差点,
38.228972,140.889361,あすと長町1丁目北交差点,
38.228752,140.88942,あすと長町1丁目北交差点,
38.228691,140.889412,あすと長町1丁目北交差点,
38.228697,140.8895,あすと長町1丁目北交差点,
38.228811,140.889494,あすと長町1丁目北交差点,
38.228542,140.889792,あすと長町1丁目北交差点,
38.228722,140.889343,あすと長町1丁目北交差点,
38.228744,140.889544,あすと長町1丁目北交差点,
35.056406,137.160311,トヨタ町交差点,
35.292831,137.139557,ファミリーマート多治見笠原町店,
35.033096,137.222122,岡崎SA（上り）（新東名高速道路）,
34.978569,138.292633,静岡SA,
34.969727,138.290802,静岡SA,
35.034325,137.223244,NEOPASA岡崎（上り線）,
35.32431,137.153908,下沢町交差点,
35.05616,137.160538,トヨタ町交差点,
35.0562,137.160308,トヨタ町交差点,
35.056335,137.160439,トヨタ町交差点,
35.201416,136.928947,そよら上飯田,
35.20134,136.928932,マクドナルドそよら上飯田店,
35.098953,137.047981,平和堂ららぽーと愛知東郷店,
35.053474,136.947548,イオン大高店,
35.092712,137.079453,イオン三好店,
34.609428,135.961655,餃子の王将針インター店,
34.337608,135.954216,道の駅杉の湯川上,
34.683952,135.77253,ローソン奈良宝来町店,
34.68399,135.772606,ローソン奈良宝来町店,
34.683998,135.77256,ローソン奈良宝来町店,
35.014992,135.567215,道の駅ガレリアかめおか,
34.668358,135.799667,柏木町交差点,
34.684036,135.772552,ローソン奈良宝来町店,
34.670258,135.755844,奈良市西部生涯スポーツセンター体育館,
34.054092,135.262444,道の駅明恵ふるさと館,
33.894707,135.439453,道の駅水の郷日高川龍游,
33.487328,135.794029,道の駅くしもと橋杭岩,
34.393761,136.408691,道の駅奥伊勢おおだい,
35.018738,136.590462,EXPASA御在所（上り線）,
35.123985,137.092041,セブンイレブンみよし黒笹店,
35.056297,137.160428,トヨタ町交差点,
35.05629,137.160416,トヨタ町交差点,
34.924324,137.139038,牧御堂町油田交差点,
